region_id,region_name,ioos_association,ioos_region_code,phase,status,region_keywords,priority_domains,starter_research_question,source_targets,evidence_gap,prompt_notes
aoos,Alaska,AOOS,AOOS,Regional build queue,planned,AOOS; Alaska,Coastal hazards / resilience; fisheries and marine operations; maritime safety; Arctic and community decision support,"What source-backed evidence shows how AOOS data, products, or observing assets support decisions with economic relevance in Alaska?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct AOOS attribution from broader Alaska ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
caricoos,Caribbean,CARICOOS,CARICOOS,Regional build queue,planned,CARICOOS; Caribbean,Coastal hazards / resilience; maritime safety; water quality; tourism and recreation,"What source-backed evidence shows how CARICOOS data, products, or observing assets support decisions with economic relevance in Caribbean?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct CARICOOS attribution from broader Caribbean ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
cencoos,Central and Northern California,CeNCOOS,CeNCOOS,Regional build queue,planned,CeNCOOS; Central and Northern California,HABs / water quality; coastal hazards / resilience; fisheries; offshore wind and marine operations,"What source-backed evidence shows how CeNCOOS data, products, or observing assets support decisions with economic relevance in Central and Northern California?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct CeNCOOS attribution from broader Central and Northern California ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
gcoos,Gulf of America,GCOOS,GCOOS,Regional build queue,planned,GCOOS; Gulf of America,Maritime transportation / PORTS; HABs / water quality; coastal hazards / resilience; fisheries and offshore energy,"What source-backed evidence shows how GCOOS data, products, or observing assets support decisions with economic relevance in Gulf of America?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct GCOOS attribution from broader Gulf of America ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
glos,Great Lakes,GLOS,GLOS,Regional build queue,planned,GLOS; Great Lakes,Maritime transportation; coastal hazards / resilience; water quality; recreation and fisheries,"What source-backed evidence shows how GLOS data, products, or observing assets support decisions with economic relevance in Great Lakes?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct GLOS attribution from broader Great Lakes ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
maracoos,Mid-Atlantic,MARACOOS,MARACOOS,Regional pilot,active,MARACOOS; Mid-Atlantic; Chesapeake Bay; Delaware Bay; New York Bight,HF radar / search and rescue; coastal hazards / resilience; maritime transportation / PORTS; HABs / shellfish and water quality; offshore wind and marine operations,"What source-backed evidence shows how MARACOOS data, products, or observing assets support decisions with economic relevance in the Mid-Atlantic?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct MARACOOS attribution from broader Mid-Atlantic ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
nanoos,Pacific Northwest,NANOOS,NANOOS,Regional build queue,planned,NANOOS; Pacific Northwest,HABs / shellfish and water quality; ocean acidification / aquaculture; maritime safety; coastal hazards / resilience,"What source-backed evidence shows how NANOOS data, products, or observing assets support decisions with economic relevance in Pacific Northwest?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct NANOOS attribution from broader Pacific Northwest ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
neracoos,Northeast Atlantic,NERACOOS,NERACOOS,Regional build queue,planned,NERACOOS; Northeast Atlantic,Coastal hazards / resilience; maritime safety; fisheries; regional observing-system valuation,"What source-backed evidence shows how NERACOOS data, products, or observing assets support decisions with economic relevance in Northeast Atlantic?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct NERACOOS attribution from broader Northeast Atlantic ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
pacioos,Pacific Islands,PacIOOS,PacIOOS,Regional build queue,planned,PacIOOS; Pacific Islands,Coastal hazards / resilience; wave and inundation decision support; water quality; tourism and recreation,"What source-backed evidence shows how PacIOOS data, products, or observing assets support decisions with economic relevance in Pacific Islands?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct PacIOOS attribution from broader Pacific Islands ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
sccoos,Southern California,SCCOOS,SCCOOS,Regional build queue,planned,SCCOOS; Southern California,HABs / water quality; coastal hazards / resilience; maritime safety; fisheries and coastal recreation,"What source-backed evidence shows how SCCOOS data, products, or observing assets support decisions with economic relevance in Southern California?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct SCCOOS attribution from broader Southern California ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
secoora,Southeast Atlantic,SECOORA,SECOORA,Regional build queue,planned,SECOORA; Southeast Atlantic,Coastal hazards / resilience; HABs / water quality; maritime safety; regional observing-system valuation,"What source-backed evidence shows how SECOORA data, products, or observing assets support decisions with economic relevance in Southeast Atlantic?","Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need regional rows that distinguish direct SECOORA attribution from broader Southeast Atlantic ocean economy exposure.,Start with decision-use evidence and conservative claims; economic baselines are context only unless the source links observations to decisions or benefits.
national,National / Cross-region,National,National,Cross-region synthesis,active,National; Multiple; U.S. IOOS; cross-region,National PORTS scenarios; HF radar network; Ocean Enterprise; marine economy context; cross-region valuation methods,What source-backed evidence supports national or cross-region IOOS economic impact claims without overstating regional attribution?,"Regional association product pages and annual reports; U.S. IOOS regional association materials; NOAA/NOS/CO-OPS/NWS/NCCOS; state coastal and environmental agencies; port authorities and maritime pilot associations; peer-reviewed valuation or value-of-information studies; BEA MESA, ENOW, NOEP, BTS, and USACE baseline data",Need national rows that distinguish IOOS-attributable decision support from broad marine economy exposure.,Use National for national-scale evidence and Multiple when a source spans several named regional associations.
